path	strict_decode	format	core_spec	total	sort	bvar	const	app	lam	pi	let
npa-core/testdata/package/proofs/vendor/npa-std/Std/Nat/Basic/certificate.npcert	ok	NPA-CERT-0.2.0	NPA-Core-0.2.0	22	2	4	3	5	0	8	0
npa-corpus/fixtures/npa-mathlib-downstream/Downstream/MathlibBasic/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	10	1	2	1	2	2	2	0
npa-corpus/fixtures/npa-mathlib-downstream/vendor/npa-mathlib/Mathlib/Logic/Basic/certificate.npcert	ok	NPA-CERT-0.1.2	NPA-Core-0.1.2	185	2	7	0	8	83	85	0
npa-corpus/fixtures/npa-mathlib-seed-downstream/Downstream/SeedBasic/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	10	1	2	1	2	2	2	0
npa-corpus/fixtures/npa-mathlib-seed-downstream/vendor/npa-mathlib-seed/Proofs/Ai/Basic/certificate.npcert	ok	NPA-CERT-0.1	NPA-Core-0.1	185	2	7	0	8	83	85	0
npa-corpus/fixtures/npa-mathlib-seed/Proofs/Ai/Basic/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	185	2	7	0	8	83	85	0
npa-corpus/fixtures/npa-mathlib-seed/Proofs/Ai/Eq/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	161	5	7	13	51	39	46	0
npa-corpus/fixtures/npa-mathlib-seed/Proofs/Ai/Nat/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	49	0	3	5	16	19	6	0
npa-corpus/fixtures/npa-mathlib-seed/Proofs/Ai/Prop/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	96	1	7	0	9	36	43	0
npa-corpus/fixtures/npa-mathlib-seed/Proofs/Ai/Reduction/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	20	0	2	3	3	8	2	2
npa-corpus/fixtures/npa-mathlib-seed/vendor/npa-std/Std/Logic/Eq/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	13	2	2	1	3	0	5	0
npa-corpus/fixtures/npa-mathlib-seed/vendor/npa-std/Std/Nat/Basic/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	22	2	4	3	5	0	8	0
npa-corpus/fixtures/npa-mathlib/Mathlib/Core/Reduction/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	20	0	2	3	3	8	2	2
npa-corpus/fixtures/npa-mathlib/Mathlib/Data/Nat/Basic/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	49	0	3	5	16	19	6	0
npa-corpus/fixtures/npa-mathlib/Mathlib/Logic/Basic/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	185	2	7	0	8	83	85	0
npa-corpus/fixtures/npa-mathlib/Mathlib/Logic/Eq/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	161	5	7	13	51	39	46	0
npa-corpus/fixtures/npa-mathlib/Mathlib/Logic/Prop/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	96	1	7	0	9	36	43	0
npa-corpus/fixtures/npa-mathlib/vendor/npa-std/Std/Logic/Eq/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	13	2	2	1	3	0	5	0
npa-corpus/fixtures/npa-mathlib/vendor/npa-std/Std/Nat/Basic/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	22	2	4	3	5	0	8	0
npa-corpus/fixtures/npa-std/Std/Logic/Eq/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	13	2	2	1	3	0	5	0
npa-corpus/fixtures/npa-std/Std/Nat/Basic/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	22	2	4	3	5	0	8	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractAlgebraicClosure/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	1002	5	54	8	447	237	251	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractAlgebraicExtension/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	1487	5	56	19	633	365	409	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractField/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	1262	2	31	8	557	302	362	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractFieldExtension/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	764	4	29	12	319	193	207	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractFieldHom/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	473	3	26	7	195	112	130	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractFieldHomKernelImage/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	1083	4	31	18	470	265	295	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractFieldIdeal/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	578	4	30	17	285	97	145	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractFieldIntegralDomain/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	782	2	52	20	423	139	146	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractFiniteField/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	685	2	30	10	283	189	171	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractFiniteFieldExtension/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	1179	4	43	16	557	276	283	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractGaloisStarter/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	1121	6	50	22	538	231	274	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractGroup/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	1552	3	14	22	1021	252	240	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractGroupCorrespondence/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	1659	3	21	41	974	284	336	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractGroupCorrespondenceFinal/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	1477	2	18	43	901	80	433	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractGroupCorrespondenceOrder/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	355	2	15	16	228	47	47	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractGroupCorrespondenceOrderFinal/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	288	2	19	15	172	34	46	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractGroupFirstIso/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	303	3	16	14	159	48	63	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractGroupFirstIsoFull/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	333	3	17	14	195	41	63	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractGroupFirstIsoImage/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	419	3	19	21	227	60	89	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractGroupImage/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	336	3	20	10	169	65	69	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractGroupKernel/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	379	2	15	14	259	44	45	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractGroupNormalQuotient/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	169	2	15	4	67	32	49	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractGroupNormalQuotientGroup/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	368	2	10	14	173	83	86	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractGroupNormalQuotientMul/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	132	2	13	6	64	22	25	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractGroupQuotient/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	213	3	12	8	100	36	54	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractGroupQuotientGroup/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	496	2	15	17	222	118	122	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractGroupQuotientHom/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	89	2	12	6	42	12	15	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractGroupQuotientMul/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	177	2	16	11	98	22	28	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractGroupSecondIsoFinal/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	336	2	12	17	181	56	68	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractGroupSecondIsoImage/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	489	2	21	17	246	101	102	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractGroupSecondIsoKernel/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	180	2	11	10	77	38	42	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractGroupSecondIsoPhi/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	334	2	13	14	195	53	57	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractGroupSubgroup/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	1701	2	23	36	954	334	352	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractGroupSubgroupOrder/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	262	2	7	8	119	63	63	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractGroupThirdIso/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	1612	2	19	38	945	300	308	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractHilbertBasisTheorem/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	1354	4	31	19	585	279	436	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractHilbertNullstellensatz/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	1502	5	29	23	682	307	456	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractKrullTheorem/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	832	2	19	13	340	198	260	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractOrderedField/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	2717	2	47	6	1203	482	977	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractOrderedFieldFieldBridge/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	547	2	25	7	208	140	165	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractOrderedFieldSquare/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	439	2	40	4	239	34	120	0
